state	power	likelihood
900	0.32768	-56384.8
1000	0.32768	-56387.7
300	0.288717	-56384.9
400	0.288717	-56379.7
500	0.288717	-56383.4
600	0.288717	-56399.4
700	0.288717	-56374.1
800	0.288717	-56380.5
900	0.288717	-56390.2
1000	0.288717	-56384.2
300	0.253553	-56387.5
400	0.253553	-56382.5
500	0.253553	-56394.3
600	0.253553	-56387.2
700	0.253553	-56384.4
800	0.253553	-56378
900	0.253553	-56389.2
1000	0.253553	-56385.3
300	0.221901	-56404.6
400	0.221901	-56377.8
500	0.221901	-56393
600	0.221901	-56401.9
700	0.221901	-56394
800	0.221901	-56376.9
900	0.221901	-56405.9
1000	0.221901	-56388.6
300	0.193492	-56393.9
400	0.193492	-56388.6
500	0.193492	-56404.6
600	0.193492	-56386.3
700	0.193492	-56385.5
800	0.193492	-56371.3
900	0.193492	-56374.6
1000	0.193492	-56387
300	0.16807	-56436.2
400	0.16807	-56398.8
500	0.16807	-56413.1
600	0.16807	-56377.9
700	0.16807	-56445.3
800	0.16807	-56393.6
900	0.16807	-56379.3
1000	0.16807	-56412.6
300	0.145393	-56401.9
400	0.145393	-56400.1
500	0.145393	-56412.4
600	0.145393	-56402.4
700	0.145393	-56394.8
800	0.145393	-56408.8
900	0.145393	-56390.6
1000	0.145393	-56410.3
300	0.125233	-56388.7
400	0.125233	-56399.7
500	0.125233	-56408
600	0.125233	-56398.7
700	0.125233	-56407.6
800	0.125233	-56420.1
900	0.125233	-56378.9
1000	0.125233	-56407.1
300	0.107374	-56391
400	0.107374	-56392.6
500	0.107374	-56410.7
600	0.107374	-56428.1
700	0.107374	-56397.6
800	0.107374	-56386.9
900	0.107374	-56440.3
1000	0.107374	-56387.7
300	0.0916133	-56476.3
400	0.0916133	-56385.3
500	0.0916133	-56410.8
600	0.0916133	-56430.5
700	0.0916133	-56418.2
800	0.0916133	-56444.1
900	0.0916133	-56425.3
1000	0.0916133	-56388.5
300	0.07776	-56420.5
400	0.07776	-56458.8
500	0.07776	-56502.5
600	0.07776	-56475.8
700	0.07776	-56472
800	0.07776	-56443.3
900	0.07776	-56397.9
1000	0.07776	-56459
300	0.0656357	-56446.4
400	0.0656357	-56451.5
500	0.0656357	-56418.2
600	0.0656357	-56470
700	0.0656357	-56417
800	0.0656357	-56499.4
900	0.0656357	-56420.8
1000	0.0656357	-56420
300	0.0550732	-56418
400	0.0550732	-56443.6
500	0.0550732	-56501.9
600	0.0550732	-56448
700	0.0550732	-56426.4
800	0.0550732	-56419.2
900	0.0550732	-56496.8
1000	0.0550732	-56460.2
300	0.0459165	-56509.5
400	0.0459165	-56482.5
500	0.0459165	-56430.8
600	0.0459165	-56447.6
700	0.0459165	-56473.2
800	0.0459165	-56529
900	0.0459165	-56548.5
1000	0.0459165	-56474.5
300	0.0380204	-56498.2
400	0.0380204	-56460
500	0.0380204	-56503.3
600	0.0380204	-56608.6
700	0.0380204	-56584.2
800	0.0380204	-56483.9
900	0.0380204	-56572.7
1000	0.0380204	-56424.1
300	0.03125	-56567.4
400	0.03125	-56627.8
500	0.03125	-56489.8
600	0.03125	-56440.1
700	0.03125	-56542.4
800	0.03125	-56459
900	0.03125	-56418.5
1000	0.03125	-56460.7
300	0.0254804	-56814.2
400	0.0254804	-56447
500	0.0254804	-56676
600	0.0254804	-56933.4
700	0.0254804	-56516.5
800	0.0254804	-56454.1
900	0.0254804	-56464.3
1000	0.0254804	-56567.2
300	0.0205963	-56860.8
400	0.0205963	-56475.4
500	0.0205963	-56773.5
600	0.0205963	-56481.3
700	0.0205963	-56700.9
800	0.0205963	-56619.6
900	0.0205963	-56555.4
1000	0.0205963	-56569
300	0.0164916	-56663.7
400	0.0164916	-56697.6
500	0.0164916	-56591.6
600	0.0164916	-56593.2
700	0.0164916	-56749.3
800	0.0164916	-56821.1
900	0.0164916	-56677.6
1000	0.0164916	-56680.3
300	0.0130691	-57221
400	0.0130691	-57062
500	0.0130691	-57156.2
600	0.0130691	-56752
700	0.0130691	-57125
800	0.0130691	-57085.6
900	0.0130691	-56599.8
1000	0.0130691	-56832.2
300	0.01024	-56998.8
400	0.01024	-57040.9
500	0.01024	-56805.8
600	0.01024	-56847.8
700	0.01024	-56622.3
800	0.01024	-56705
900	0.01024	-56918.7
1000	0.01024	-57227.1
300	0.00792352	-56813.8
400	0.00792352	-56818.6
500	0.00792352	-57431.6
600	0.00792352	-57237.7
700	0.00792352	-56936.4
800	0.00792352	-57126.4
900	0.00792352	-56934.2
1000	0.00792352	-57001.2
300	0.00604662	-57123.4
400	0.00604662	-57215.2
500	0.00604662	-57377.9
600	0.00604662	-57656.2
700	0.00604662	-57344.2
800	0.00604662	-56781.5
900	0.00604662	-57351.1
1000	0.00604662	-57004.6
300	0.00454354	-57371.1
400	0.00454354	-57903.7
500	0.00454354	-58164
600	0.00454354	-57118.5
700	0.00454354	-57562.9
800	0.00454354	-57558.8
