state	power	likelihood
300	1	-56371.2
400	1	-56374.5
500	1	-56369.8
600	1	-56369.4
700	1	-56370.7
800	1	-56370.7
900	1	-56366.6
1000	1	-56370.7
300	0.903921	-56368.1
400	0.903921	-56371.4
500	0.903921	-56372.4
600	0.903921	-56377.4
700	0.903921	-56375.5
800	0.903921	-56372.9
900	0.903921	-56371.9
1000	0.903921	-56373
300	0.815373	-56371
400	0.815373	-56376.4
500	0.815373	-56374.2
600	0.815373	-56369.1
700	0.815373	-56371.9
800	0.815373	-56370.7
900	0.815373	-56382.6
1000	0.815373	-56373.5
300	0.733904	-56371.8
400	0.733904	-56375.1
500	0.733904	-56380
600	0.733904	-56369.5
700	0.733904	-56370.7
800	0.733904	-56372.2
900	0.733904	-56378.7
1000	0.733904	-56372.8
300	0.659082	-56371.8
400	0.659082	-56380.1
500	0.659082	-56374
600	0.659082	-56374.6
700	0.659082	-56372.5
800	0.659082	-56374.6
900	0.659082	-56374
1000	0.659082	-56370.7
300	0.59049	-56374.2
400	0.59049	-56374.4
500	0.59049	-56372.1
600	0.59049	-56372.7
700	0.59049	-56376.3
800	0.59049	-56370.2
900	0.59049	-56379
1000	0.59049	-56387.5
300	0.527732	-56371.4
400	0.527732	-56378.1
500	0.527732	-56393.1
600	0.527732	-56373.6
700	0.527732	-56383.3
800	0.527732	-56372.3
900	0.527732	-56373.4
1000	0.527732	-56371.4
300	0.470427	-56375.3
400	0.470427	-56381.4
500	0.470427	-56379.4
600	0.470427	-56374.8
700	0.470427	-56383.2
800	0.470427	-56371.6
900	0.470427	-56372.9
1000	0.470427	-56377.2
300	0.418212	-56374.5
400	0.418212	-56382.5
500	0.418212	-56380.8
600	0.418212	-56387.4
700	0.418212	-56385.1
800	0.418212	-56383.8
900	0.418212	-56373.4
1000	0.418212	-56371.4
300	0.37074	-56371.4
400	0.37074	-56385.6
500	0.37074	-56376.5
600	0.37074	-56379.8
700	0.37074	-56384.3
800	0.37074	-56376.6
900	0.37074	-56380.4
1000	0.37074	-56388.7
300	0.32768	-56378.4
400	0.32768	-56372.7
500	0.32768	-56379.1
600	0.32768	-56382.4
700	0.32768	-56382.3
800	0.32768	-56375.7
900	0.32768	-56384.8
1000	0.32768	-56387.7
300	0.288717	-56384.9
400	0.288717	-56379.7
