state	power	likelihood
800	0.0254804	-56419
900	0.0254804	-56525.9
1000	0.0254804	-56491.9
300	0.0205963	-56453.8
400	0.0205963	-56599.8
500	0.0205963	-56999.4
600	0.0205963	-56494.4
700	0.0205963	-56591.4
800	0.0205963	-56623.9
900	0.0205963	-56451.8
1000	0.0205963	-56559.1
300	0.0164916	-56796.3
400	0.0164916	-56571.9
500	0.0164916	-56454.8
600	0.0164916	-56511.7
700	0.0164916	-56805.7
800	0.0164916	-56535.2
900	0.0164916	-56490
1000	0.0164916	-56679.6
300	0.0130691	-56940.1
400	0.0130691	-57078.3
500	0.0130691	-56678.6
600	0.0130691	-56998.4
700	0.0130691	-56558.1
800	0.0130691	-56666
900	0.0130691	-56964.9
1000	0.0130691	-57051.1
300	0.01024	-56791.3
400	0.01024	-57144.7
500	0.01024	-57079.1
600	0.01024	-57103.6
700	0.01024	-57125.8
800	0.01024	-56998.6
900	0.01024	-56799.3
1000	0.01024	-56722.9
300	0.00792352	-57030.7
400	0.00792352	-56599.8
500	0.00792352	-57066.3
600	0.00792352	-56937.7
700	0.00792352	-56756.3
800	0.00792352	-57345.4
900	0.00792352	-57504.6
1000	0.00792352	-57138.9
300	0.00604662	-56576.6
400	0.00604662	-57292.4
500	0.00604662	-57042.7
600	0.00604662	-57201.8
700	0.00604662	-56611.5
800	0.00604662	-56891.9
900	0.00604662	-56958.4
1000	0.00604662	-57429.3
300	0.00454354	-57998
400	0.00454354	-56709.5
500	0.00454354	-56955
600	0.00454354	-56920.9
700	0.00454354	-57231.5
800	0.00454354	-57036.6
900	0.00454354	-57212.2
1000	0.00454354	-57026.6
300	0.00335544	-57161.7
400	0.00335544	-57284.6
500	0.00335544	-56971
600	0.00335544	-57112.2
700	0.00335544	-57389.9
800	0.00335544	-57285.2
900	0.00335544	-56815.4
1000	0.00335544	-57374.5
300	0.00243	-59603.4
400	0.00243	-58604.3
500	0.00243	-57086.6
600	0.00243	-56953.4
700	0.00243	-57122.6
800	0.00243	-57193.3
900	0.00243	-57007.9
1000	0.00243	-56964.2
