state	power	likelihood
900	0.0205963	-58220.5
1000	0.0205963	-58039
300	0.0164916	-58172
400	0.0164916	-58008.8
500	0.0164916	-58107
600	0.0164916	-58071.2
700	0.0164916	-58388.5
800	0.0164916	-58142.4
900	0.0164916	-58162.4
1000	0.0164916	-58844.1
300	0.0130691	-58647.4
400	0.0130691	-58167.5
500	0.0130691	-58513.6
600	0.0130691	-58258.2
700	0.0130691	-58494.2
800	0.0130691	-58303.8
900	0.0130691	-58101
1000	0.0130691	-58582.9
300	0.01024	-58593.1
400	0.01024	-58496.9
500	0.01024	-58625.3
600	0.01024	-58250.2
700	0.01024	-58694.8
800	0.01024	-58771.6
900	0.01024	-58645.1
1000	0.01024	-58919.9
300	0.00792352	-59579.2
400	0.00792352	-59069
500	0.00792352	-59048
600	0.00792352	-58307.9
700	0.00792352	-58474.4
800	0.00792352	-58715.3
900	0.00792352	-59203.7
1000	0.00792352	-59101
300	0.00604662	-59722.5
400	0.00604662	-59415.3
500	0.00604662	-59247
600	0.00604662	-59378.4
700	0.00604662	-59043.3
800	0.00604662	-59532
900	0.00604662	-59248.6
1000	0.00604662	-58717.1
300	0.00454354	-59525.4
400	0.00454354	-60429
500	0.00454354	-59286.4
600	0.00454354	-59652.8
700	0.00454354	-58634.4
800	0.00454354	-59808.1
900	0.00454354	-58894.6
1000	0.00454354	-59620
300	0.00335544	-59452.6
400	0.00335544	-59631.7
500	0.00335544	-59834.9
600	0.00335544	-60120.7
700	0.00335544	-60853.4
800	0.00335544	-60680.2
900	0.00335544	-59068.9
1000	0.00335544	-58922.8
300	0.00243	-61117.1
400	0.00243	-61575.2
500	0.00243	-59615.4
600	0.00243	-58462.3
700	0.00243	-62901.4
800	0.00243	-59855
900	0.00243	-60607
1000	0.00243	-61838.2
