state	power	likelihood
900	0.0254804	-56193.9
1000	0.0254804	-55952.7
300	0.0205963	-56099.7
400	0.0205963	-55986.2
500	0.0205963	-55974.2
600	0.0205963	-56035.7
700	0.0205963	-55916.4
800	0.0205963	-56084.9
900	0.0205963	-56052.3
1000	0.0205963	-56015.2
300	0.0164916	-56128.5
400	0.0164916	-56016.2
500	0.0164916	-56037.4
600	0.0164916	-56445.4
700	0.0164916	-55979.5
800	0.0164916	-55951.2
900	0.0164916	-56051.4
1000	0.0164916	-56025.1
300	0.0130691	-56476
400	0.0130691	-56194.6
500	0.0130691	-56220
600	0.0130691	-55983.4
700	0.0130691	-56009.7
800	0.0130691	-56498.4
900	0.0130691	-56008
1000	0.0130691	-56318.7
300	0.01024	-56913.4
400	0.01024	-56431.9
500	0.01024	-56105.2
600	0.01024	-56161.1
700	0.01024	-56372.2
800	0.01024	-56561.2
900	0.01024	-56547.7
1000	0.01024	-56128.3
300	0.00792352	-56565.8
400	0.00792352	-56130.3
500	0.00792352	-56111.3
600	0.00792352	-56547
700	0.00792352	-56478.8
800	0.00792352	-56883.3
900	0.00792352	-56525.2
1000	0.00792352	-56650.1
300	0.00604662	-57030.8
400	0.00604662	-56261.4
500	0.00604662	-56290.3
600	0.00604662	-56545.4
700	0.00604662	-56966.5
800	0.00604662	-56648.8
900	0.00604662	-56312.6
1000	0.00604662	-56357.4
300	0.00454354	-57029.1
400	0.00454354	-56266.8
500	0.00454354	-58197.6
600	0.00454354	-56973.9
700	0.00454354	-57317.2
800	0.00454354	-56615.2
900	0.00454354	-56985.2
1000	0.00454354	-57517.5
300	0.00335544	-56981.5
400	0.00335544	-56727.5
500	0.00335544	-56731.2
600	0.00335544	-56678.8
700	0.00335544	-56727.8
800	0.00335544	-57245.3
900	0.00335544	-56140.3
1000	0.00335544	-56408.7
300	0.00243	-56479.4
400	0.00243	-56596.7
500	0.00243	-56747.5
600	0.00243	-56853.7
700	0.00243	-58832.7
800	0.00243	-56573.4
900	0.00243	-56692.7
1000	0.00243	-58048.4
