state	power	likelihood
1000	0.0254804	-56468.4
300	0.0205963	-56525.7
400	0.0205963	-56554.4
500	0.0205963	-56611.1
600	0.0205963	-56628
700	0.0205963	-56558
800	0.0205963	-56424.8
900	0.0205963	-56494.5
1000	0.0205963	-56440.8
300	0.0164916	-56636.8
400	0.0164916	-56460.3
500	0.0164916	-56508.9
600	0.0164916	-56431.6
700	0.0164916	-56466.1
800	0.0164916	-56423.1
900	0.0164916	-56644.7
1000	0.0164916	-56520
300	0.0130691	-56674.2
400	0.0130691	-56660.1
500	0.0130691	-56714.7
600	0.0130691	-56633.3
700	0.0130691	-56714.1
800	0.0130691	-56502.3
900	0.0130691	-56553.4
1000	0.0130691	-56576.7
300	0.01024	-56677.8
400	0.01024	-57068.6
500	0.01024	-57034.4
600	0.01024	-56580.7
700	0.01024	-56562.3
800	0.01024	-56499.2
900	0.01024	-56682.9
1000	0.01024	-56643.6
300	0.00792352	-56654.4
400	0.00792352	-56559.7
500	0.00792352	-56615.7
600	0.00792352	-57166.1
700	0.00792352	-56733
800	0.00792352	-56703.9
900	0.00792352	-56653.7
1000	0.00792352	-57358.6
300	0.00604662	-56844.1
400	0.00604662	-56559
500	0.00604662	-56834.6
600	0.00604662	-56682
700	0.00604662	-56608.9
800	0.00604662	-56676.2
900	0.00604662	-56712.5
1000	0.00604662	-56898.4
300	0.00454354	-56704.2
400	0.00454354	-56648.2
500	0.00454354	-57974.6
600	0.00454354	-56822.5
700	0.00454354	-56782
800	0.00454354	-57328.8
900	0.00454354	-57117.8
1000	0.00454354	-57003.7
300	0.00335544	-57316.2
400	0.00335544	-56718
500	0.00335544	-57024.5
600	0.00335544	-56769.2
700	0.00335544	-57464.8
800	0.00335544	-57003.4
900	0.00335544	-57256
1000	0.00335544	-57239.8
300	0.00243	-58368.2
400	0.00243	-57696
500	0.00243	-57203.9
600	0.00243	-57166.5
700	0.00243	-58285.9
800	0.00243	-57269.8
900	0.00243	-56737.9
1000	0.00243	-56549.9
